file,duration,sampling rate,data length
ns_chosun (1).wav,2472,22050,54508
ns_chosun (2).wav,2856,22050,62975
ns_chosun (3).wav,4373,22050,96432
ns_chosun (4).wav,4373,22050,96432
ns_chosun (5).wav,4693,22050,103488
ns_chosun (6).wav,4629,22050,102077
ns_chosun (7).wav,4544,22050,100196
ns_chosun (8).wav,4522,22050,99725
ns_chosun (9).wav,4650,22050,102548
ns_chosun (10).wav,4288,22050,94551
ns_chosun (11).wav,4800,22050,105840
ns_chosun (12).wav,4757,22050,104900
ns_chosun (13).wav,2521,22050,55610
ns_chosun (14).wav,3562,22050,78557
ns_chosun (15).wav,3392,22050,74794
ns_chosun (16).wav,3392,22050,75794
ns_chosun (17).wav,3925,22050,86554
ns_chosun (18).wav,3434,22050,75735
ns_chosun (19).wav,3648,22050,80439
ns_chosun (20).wav,3520,22050,77616
ns_chosun (21).wav,3925,22050,86554
ns_chosun (22).wav,4672,22050,103018
ns_salesio (1).wav,2712,22050,59800
ns_salesio (2).wav,3264,22050,71972
ns_salesio (3).wav,2925,22050,64512
ns_salesio (4).wav,4650,22050,102548
ns_salesio (5).wav,4842,22050,106781
ns_salesio (6).wav,5141,22050,113367
ns_salesio (7).wav,4949,22050,109133
ns_salesio (8).wav,4778,22050,105370
ns_salesio (9).wav,4778,22050,105370
ns_salesio (10).wav,4864,22050,107252
ns_salesio (11).wav,4800,22050,105840
ns_salesio (12).wav,5184,22050,114308
ns_salesio (13).wav,4885,22050,107722
ns_salesio (14).wav,2830,22050,62402
ns_salesio (15).wav,3690,22050,81380
ns_salesio (16).wav,4864,22050,107252
ns_salesio (17).wav,4778,22050,105370
ns_salesio (18).wav,4586,22050,101136
ns_salesio (19).wav,6720,22050,148176
ns_salesio (20).wav,4800,22050,105840
ns_salesio (21).wav,4266,22050,94080
ns_salesio (22).wav,4416,22050,97373
ns_salesio (23).wav,4992,22050,110074
ns_southwest (1).wav,2712,22050,59800
ns_southwest (2).wav,3696,22050,81497
ns_southwest (3).wav,4368,22050,96315
ns_southwest (4).wav,7018,22050,154762
ns_southwest (5).wav,5162,22050,113837
ns_southwest (6).wav,7125,22050,157114
ns_southwest (7).wav,6869,22050,151469
ns_southwest (8).wav,6634,22050,146295
ns_southwest (9).wav,6336,22050,139709
ns_southwest (10).wav,6336,22050,139709
ns_southwest (11).wav,6165,22050,135946
ns_southwest (12).wav,5461,22050,120423
ns_southwest (13).wav,5717,22050,126068
ns_southwest (14).wav,4992,22050,110074
ns_southwest (15).wav,5226,22050,115248
ns_southwest (16).wav,4586,22050,101136
ns_southwest (17).wav,5397,22050,119012
ns_southwest (18).wav,3754,22050,82791
ns_southwest (19).wav,3562,22050,78557
ns_southwest (20).wav,5952,22050,131242
ns_southwest (21).wav,5952,22050,131242
ns_southwest (22).wav,3317,22050,73152
ns_southwest (23).wav,4693,22050,103488
ts_southwest (1).wav,3578,22050,78912
ts_southwest (2).wav,3648,22050,80439
ts_southwest (3).wav,6741,22050,148647
ts_southwest (4).wav,5568,22050,122775
ts_southwest (5).wav,4344,22050,95786
ts_southwest (6).wav,5674,22050,125127
ts_southwest (7).wav,5717,22050,126068
ts_southwest (8).wav,5440,22050,119952
ts_southwest (9).wav,5525,22050,121834
ts_southwest (10).wav,6293,22050,138768
ts_southwest (11).wav,5546,22050,122304
ts_southwest (12).wav,5141,22050,113367
ts_southwest (13).wav,5568,22050,122775
ts_southwest (14).wav,3712,22050,81850
ts_southwest (15).wav,5013,22050,110544
ts_southwest (16).wav,5397,22050,119012
ts_southwest (17).wav,3690,22050,81380
ts_southwest (18).wav,4330,22050,95492
ts_southwest (19).wav,5738,22050,126538
ts_southwest (20).wav,4309,22050,95021
ts_southwest (21).wav,6912,22050,152410
ts_southwest (22).wav,3649,22050,80482
ts_southwest (23).wav,4245,22050,93610
ts_chosun (1).wav,2507,22050,55296
ts_chosun (2).wav,2424,22050,53450
ts_chosun (3).wav,2856,22050,62975
ts_chosun (4).wav,4330,22050,95492
ts_chosun (5).wav,4522,22050,99725
ts_chosun (6).wav,4800,22050,105840
ts_chosun (7).wav,4352,22050,95962
ts_chosun (8).wav,4245,22050,93610
ts_chosun (9).wav,4608,22050,101607
ts_chosun (10).wav,4565,22050,100666
ts_chosun (11).wav,4288,22050,94551
ts_chosun (12).wav,4352,22050,95962
ts_chosun (13).wav,4373,22050,96432
ts_chosun (14).wav,2569,22050,56668
ts_chosun (15).wav,3434,22050,75735
ts_chosun (16).wav,3690,22050,81380
ts_chosun (17).wav,3754,22050,82791
ts_chosun (18).wav,3690,22050,81380
ts_chosun (19).wav,3520,22050,77616
ts_chosun (20).wav,3562,22050,78557
